uuid,image_0_url,image_0_description,image_1_url,image_1_description,instructions
63933e84-098a-46f5-a368-1c8fbe92ee49,https://banodoco.s3.amazonaws.com/63933e84-098a-46f5-a368-1c8fbe92ee49_0.png,"The character in the image is sitting at a desk with his back to the camera. He has a frowning expression on his face, as if he's annoyed by something or someone. His body position suggests that he's leaning forward and looking at the camera. However, it's not clear whether he's looking directly at the camera or away from it.",https://banodoco.s3.amazonaws.com/63933e84-098a-46f5-a368-1c8fbe92ee49_1.png,"The character in the image is sitting at a desk, with their head tilted to one side. They have a frowning expression on their face, as if they're angry or frustrated. Their body position is also similar to that of a typical office worker, with their legs crossed and their arms resting on the desk. However, there is no sign that they are looking directly at the camera.","Turn your body around to face the desk. Tilt your head slightly. Keep the frown, but deepen the expression to show more anger or frustration. Cross your legs, rest your arms on the desk, and don't look at the camera."
ef256d14-4cad-4f4f-8f6d-4dcc2cb5a5ac,https://banodoco.s3.amazonaws.com/ef256d14-4cad-4f4f-8f6d-4dcc2cb5a5ac_0.png,"The character in the image is sitting at a desk, with their head tilted to one side. They have a frowning expression on their face, as if they're angry or frustrated. Their body position is also similar to that of a typical office worker, with their legs crossed and their arms resting on the desk. However, there is no sign that they are looking directly at the camera.",https://banodoco.s3.amazonaws.com/ef256d14-4cad-4f4f-8f6d-4dcc2cb5a5ac_1.png,"The character in the image is sitting at a desk with his back to the camera. He has a frowning expression on his face, which suggests that he's not looking directly at the camera. His body position and facial expression also suggest that he's focused on his work or task at hand.","Turn your chair 180°, keeping your legs crossed and arms rested on the desk. Maintain your frown but redirect your gaze to your task."
b84c3d3f-fa13-4079-ab5a-422b0fedfadd,https://banodoco.s3.amazonaws.com/b84c3d3f-fa13-4079-ab5a-422b0fedfadd_0.png,"The character in the image has a neutral facial expression, with her eyes closed and looking away from the camera. Her eye makeup is colorful and vibrant, suggesting that she's wearing a brightly-colored make-up to enhance her features. She may be smiling or frowning as she gazes at the camera, which could indicate that she's interested in taking a photo of herself. However, it's unclear whether she's looking directly at the camera or not.",https://banodoco.s3.amazonaws.com/b84c3d3f-fa13-4079-ab5a-422b0fedfadd_1.png,"The character in the image has a neutral facial expression and body position, with their eyes focused on the camera. They appear to be looking at the camera from a distance, which may indicate that they're not looking directly at the camera. However, it is possible that they are looking away from the camera for some reason.","Open your eyes, gaze directly into the camera lens. Maintain your current pose and facial expression."
95b6b84c-c1ed-4518-8459-8f9e7e849781,https://banodoco.s3.amazonaws.com/95b6b84c-c1ed-4518-8459-8f9e7e849781_0.png,"The character in the image has a neutral facial expression and body position, with their eyes focused on the camera. They appear to be looking at the camera from a distance, which may indicate that they're not looking directly at the camera. However, it is possible that they are looking away from the camera for some reason.",https://banodoco.s3.amazonaws.com/95b6b84c-c1ed-4518-8459-8f9e7e849781_1.png,"The character in the image has a neutral facial expression, with their eyes closed. They appear to be looking at the camera, which suggests that they're not looking at the camera directly. However, it is possible that they are looking away from the camera and into the distance.","""Close your eyes. Maintain your neutral expression and body posture."""
80a92a3c-3522-4fa9-b1d9-c60cdd42b1d2,https://banodoco.s3.amazonaws.com/80a92a3c-3522-4fa9-b1d9-c60cdd42b1d2_0.png,"The character in the image has a neutral facial expression and is standing with her hands on her hips. She appears to be looking at the camera, which may indicate that she's thinking about something or contemplating their next move. Her body position also suggests that she's not looking directly at the camera.",https://banodoco.s3.amazonaws.com/80a92a3c-3522-4fa9-b1d9-c60cdd42b1d2_1.png,"The character in the image has a thoughtful expression on their face. They're looking at the camera with their hand placed on their chin, suggesting that they're thinking about something or contemplating something. Their body position is relaxed and comfortable, suggesting that they're not actively looking at the camera.","Shift your gaze from neutral to thoughtful. Move one hand from your hip to your chin. Keep your focus on the camera, but relax your body posture."
f37d8a1e-e9d9-4811-bd09-7e970aa63957,https://banodoco.s3.amazonaws.com/f37d8a1e-e9d9-4811-bd09-7e970aa63957_0.png,"The character in the image has a thoughtful expression on their face. They're looking at the camera with their hand placed on their chin, suggesting that they're thinking about something or contemplating something. Their body position is relaxed and comfortable, suggesting that they're not actively looking at the camera.",https://banodoco.s3.amazonaws.com/f37d8a1e-e9d9-4811-bd09-7e970aa63957_1.png,"The character in the image has a neutral facial expression and body position, with her hands resting on her hips. She appears to be looking at the camera from a distance, which suggests that she is not looking directly at the camera. However, it's possible that this character is looking at the camera from a different angle or perspective.","Clear your expression to neutral. Lower your hand from your chin to your hips. Maintain the same relaxed body position, but subtly shift your gaze as if looking past the camera."
80eeac03-01ec-40ac-8743-30baeda56453,https://banodoco.s3.amazonaws.com/80eeac03-01ec-40ac-8743-30baeda56453_0.png,"The character in the image is looking at the camera with a sad expression on their face. Their eyes are closed, which suggests that they're not looking directly at the camera. However, it's possible that they're looking away from the camera to focus on something else or take a deep breath.",https://banodoco.s3.amazonaws.com/80eeac03-01ec-40ac-8743-30baeda56453_1.png,"The character in the image has a frowning expression on their face and is looking away from the camera. They may be staring at something, such as a phone or computer screen, or they may be focused on something else, such as reading a book or watching a movie. It's unclear whether this character is looking directly at the camera or not.","Open your eyes, shift gaze away from the camera. Replace sad face with a frown. Hold a phone as if intensely engaged."
61ca4b73-f70c-4299-ba64-0a0daffa2827,https://banodoco.s3.amazonaws.com/61ca4b73-f70c-4299-ba64-0a0daffa2827_0.png,"The character in the image has a frowning expression on their face and is looking away from the camera. They may be staring at something, such as a phone or computer screen, or they may be focused on something else, such as reading a book or watching a movie. It's unclear whether this character is looking directly at the camera or not.",https://banodoco.s3.amazonaws.com/61ca4b73-f70c-4299-ba64-0a0daffa2827_1.png,"The character in the image has a sad expression on their face, with her eyes closed and looking away from the camera. Her facial expression is similar to that of someone who is upset about something, such as a bad relationship or job loss. She may also be experiencing some sort of mental health issue, such as depression or anxiety. The body position of the character suggests that they're not looking at the camera, which could indicate that they aren't looking at the camera directly.",Close your eyes. Shift your frown to a melancholic expression. Maintain your gaze away from the camera.
e84eb5fe-5d73-46c4-9cba-c76bccc7ff76,https://banodoco.s3.amazonaws.com/e84eb5fe-5d73-46c4-9cba-c76bccc7ff76_0.png,"The character in the image is wearing a lab coat and protective goggles. He has a serious expression on his face as he gazes at the camera, suggesting that he's engaged in some sort of research or experimentation. His body position is upright, with his head tilted slightly to the side. He appears to be looking at the camera from a distance, which may indicate that they're not looking directly at the camera.",https://banodoco.s3.amazonaws.com/e84eb5fe-5d73-46c4-9cba-c76bccc7ff76_1.png,"The character in the image is wearing a lab coat and protective goggles. He has a serious expression on his face, which suggests that he's engaged in some sort of scientific research or experimentation. His body position is slightly off-center, suggesting that he's looking away from the camera. However, it's unclear whether he's looking directly at the camera or not.","Shift your body slightly off-center. Instead of gazing directly at the camera, divert your gaze slightly to a fixed point away from the camera. Maintain your serious expression."
5d34b1c0-ac58-458a-8f1d-56250b6167d7,https://banodoco.s3.amazonaws.com/5d34b1c0-ac58-458a-8f1d-56250b6167d7_0.png,"The character in the image is wearing a lab coat and protective goggles. He has a serious expression on his face, which suggests that he's engaged in some sort of scientific research or experimentation. His body position is slightly off-center, suggesting that he's looking away from the camera. However, it's unclear whether he's looking directly at the camera or not.",https://banodoco.s3.amazonaws.com/5d34b1c0-ac58-458a-8f1d-56250b6167d7_1.png,"The character in the image has a neutral facial expression and is standing with their back to the camera. They're wearing lab coats and protective goggles, which may indicate that they're conducting research or performing experiments. Their head is tilted downwards, suggesting that they're looking away from the camera. However, it's unclear whether they're looking directly at the camera or not.",Relax your facial expression to neutral. Turn your body to face away from the camera. Tilt your head downwards.
